rank,id,level,name,sector,proxy,n_constituents,coverage,clipped,ret_1m,ret_3m,ret_6m,ret_1y,rs_1m,rs_3m,rs_6m,rs_1y,rs_score,rs_median
48,medical-care-facilities,industry,Medical Care Facilities,Healthcare,43 cons,43,1.0,3,6.6,12.6,17.4,33.8,9.2,-0.7,10.8,14.0,7.68,18.36
49,utilities-renewable,industry,Utilities - Renewable,Utilities,10 cons,10,1.0,0,-7.6,13.4,12.5,54.0,-5.0,0.1,6.0,34.1,7.65,-0.01
50,building-products-equipment,industry,Building Products & Equipment,Industrials,31 cons,31,1.0,1,6.9,21.3,20.8,14.5,9.5,8.0,14.3,-5.3,7.52,4.88
51,oil-gas-drilling,industry,Oil & Gas Drilling,Energy,8 cons,8,1.0,0,-17.9,-20.0,35.5,79.3,-15.3,-33.3,29.0,59.4,7.51,9.7
52,solar,industry,Solar,Technology,9 cons,9,1.0,0,-22.2,11.5,9.7,73.5,-19.6,-1.8,3.2,53.6,7.24,4.72
53,leisure,industry,Leisure,Consumer Cyclical,22 cons,22,1.0,0,8.4,20.2,16.0,20.4,11.0,6.9,9.4,0.5,7.19,13.43
54,banks-regional,industry,Banks - Regional,Financial Services,50 cons,50,1.0,0,8.7,16.7,11.7,31.0,11.3,3.4,5.2,11.2,7.06,8.67
55,furnishings-fixtures-appliances,industry,"Furnishings, Fixtures & Appliances",Consumer Cyclical,24 cons,24,1.0,2,12.6,22.2,9.1,19.6,15.2,8.9,2.6,-0.3,6.44,7.04
56,industrial-distribution,industry,Industrial Distribution,Industrials,20 cons,20,1.0,0,4.8,16.6,15.9,24.7,7.4,3.3,9.3,4.8,6.24,1.19
57,residential-construction,industry,Residential Construction,Consumer Cyclical,20 cons,20,1.0,0,13.8,17.4,10.7,20.2,16.4,4.1,4.2,0.4,5.84,11.69
58,diagnostics-research,industry,Diagnostics & Research,Healthcare,36 cons,36,1.0,1,15.8,18.4,0.6,30.3,18.4,5.2,-5.9,10.5,5.55,8.83
59,beverages-non-alcoholic,industry,Beverages - Non-Alcoholic,Consumer Defensive,11 cons,11,1.0,0,2.6,15.5,16.6,23.8,5.2,2.2,10.0,3.9,5.52,4.5
60,reit-industrial,industry,REIT - Industrial,Real Estate,17 cons,17,1.0,0,2.0,16.6,18.8,18.8,4.7,3.3,12.3,-1.0,5.41,5.48
61,business-equipment-supplies,industry,Business Equipment & Supplies,Industrials,1 cons,1,1.0,0,6.7,3.3,24.2,26.0,9.3,-10.0,17.6,6.1,5.37,5.37
62,travel-services,industry,Travel Services,Consumer Cyclical,14 cons,14,1.0,0,11.5,19.7,4.9,24.7,14.1,6.4,-1.7,4.8,5.21,4.57
